dates,adjusted,open,high,low,close,betaYearDay,sigmaDay60,pbr,institutional,foreigners,kodexGBond3Year,vkospi200,wonPerYen,wonPerDollar,dowjones,shanghai,goldFuture,wtiNY,kospi,kospi200IT,logreturn,lrClass
2012-08-30,21200,21400,21450,21050,21200,1.292807,0.000555,1.59,-620,300,54300,20,1445.816885,1135.4,13000.71,2052.59,1653.5,94.7,1906.38,1257.72,0,1
2012-08-31,21200,20950,21400,20950,21200,1.300378,0.000526,1.59,-267,401,54335,20.35,1448.390393,1133.8,13090.84,2047.52,1684.6,96.4,1905.12,1259.47,0.00938974,2
2012-09-03,21400,21200,21450,20900,21400,1.301034,0.000507,1.61,223,112,54380,20.02,1446.134185,1131.6,13090.84,2059.15,1687.7,96.4,1912.71,1258.68,0.004662013,2
2012-09-04,21500,21350,21800,21250,21500,1.300579,0.000447,1.62,232,295,54375,20.01,1447.53638,1134,13035.94,2043.65,1692.9,95.4,1907.13,1263.31,-0.014051753,0
2012-09-05,21200,21500,21650,21200,21200,1.276757,0.000441,1.59,-275,322,54375,21,1451.052967,1136.9,13047.48,2037.68,1690.8,95.4,1874.03,1247.26,-0.014252023,0
2012-09-06,20900,21400,21400,20550,20900,1.271462,0.000443,1.57,-2956,832,54385,20.86,1436.335994,1133.7,13292,2051.92,1702.6,95.2,1881.24,1257.33,0.07376615,3
2012-09-07,22500,22000,22550,21750,22500,1.220687,0.000541,1.69,4250,2176,54295,18.97,1446.755408,1130.35,13306.64,2127.76,1737.5,96.4,1929.58,1294.04,-0.011173301,1
2012-09-10,22250,22350,22500,22150,22250,1.243244,0.000536,1.67,310,624,54310,19.35,1442.378945,1128.95,13254.29,2134.89,1728.7,96.5,1924.7,1285.09,-0.013574869,0
2012-09-11,21950,22150,22150,21800,21950,1.24384,0.000537,1.65,-42,446,54090,19.78,1450.43713,1128.15,13323.36,2120.55,1731.8,97.1,1920,1285.31,0.011325149,2
2012-09-12,22200,22200,22400,22000,22200,1.241305,0.000538,1.67,5,409,54030,20.02,1446.969697,1126.9,13333.35,2126.55,1730.6,96.9,1950.03,1307.36,-0.015891367,0
2012-09-13,21850,22100,22150,21800,21850,1.241323,0.000513,1.64,-590,557,53935,19.09,1457.332817,1128.85,13539.86,2110.38,1769.1,98.2,1950.69,1304.98,0.049117015,3
2012-09-14,22950,22550,23000,22350,22950,1.27825,0.000556,1.73,1581,2263,53980,17.98,1428.023523,1117,13593.37,2123.85,1769.8,99,2007.58,1341.34,0,1
2012-09-17,22950,23150,23200,22850,22950,1.272816,0.000551,1.73,160,435,53905,18.03,1418.508638,1116.65,13553.1,2078.5,1767.7,96.5,2002.35,1323.71,-0.004366819,1
2012-09-18,22850,22950,23300,22800,22850,1.272709,0.00052,1.72,193,190,53940,18.04,1422.602391,1118.45,13564.64,2059.54,1768.4,95.3,2004.96,1327.94,0.028049304,3
2012-09-19,23500,22950,23650,22900,23500,1.26701,0.000533,1.77,738,1568,53935,18.23,1425.970874,1116.25,13577.96,2067.83,1769,91.9,2007.88,1336.37,0.016878038,3
2012-09-20,23900,23700,24650,23600,23900,1.258308,0.000534,1.8,1820,2282,54005,18.64,1434.096139,1121.75,13596.93,2024.84,1767.7,92.2,1990.33,1331.44,-0.002094242,1
2012-09-21,23850,24200,24250,23650,23850,1.259543,0.000527,1.79,150,936,54040,18.15,1431.568176,1119.2,13579.47,2026.69,1775.5,92.8,2002.37,1330.18,-0.014783796,0
2012-09-24,23500,23950,24000,23350,23500,1.297335,0.000522,1.77,26,421,54065,18.28,1439.386156,1120.85,13558.92,2033.19,1762.1,91.8,2003.44,1338.26,-0.025863511,0
2012-09-25,22900,23250,23350,22750,22900,1.300017,0.000532,1.72,-615,1249,54080,18.1,1435.695033,1118.55,13457.55,2029.29,1763.8,91.1,1991.41,1314.73,-0.006571765,1
2012-09-26,22750,22600,22950,22450,22750,1.312015,0.000521,1.71,-537,680,54110,17.92,1440.616967,1120.8,13413.51,2004.17,1750.7,89.9,1980.44,1303.63,0.006571765,2
2012-09-27,22900,22550,22950,22450,22900,1.312811,0.000521,1.72,-439,530,54100,17.53,1437.813828,1116.75,13485.97,2056.32,1777.6,92,1988.7,1310.4,-0.006571765,1
2012-09-28,22750,22950,23250,22600,22750,1.30749,0.00052,1.71,-198,1136,54125,17.23,1431.923374,1113.75,13437.13,2086.17,1771.1,92.1,1996.21,1323.25,-0.011049836,1
2012-10-02,22500,22950,23000,22350,22500,1.289175,0.00052,1.69,-210,582,54140,17.65,1426.383906,1113.15,13482.36,2086.17,1772.7,91.8,1996.03,1317.38,0.028479471,3
2012-10-04,23150,22850,23500,22750,23150,1.302111,0.000532,1.74,1236,1191,54205,17.13,1417.973231,1112.4,13575.36,2086.17,1794.1,91.6,1992.68,1321.71,0.004310352,2
2012-10-05,23250,23400,23600,23150,23250,1.300006,0.000532,1.75,637,430,54215,17.06,1410.818713,1109.75,13610.15,2086.17,1778.6,89.9,1995.17,1323.77,0.019169916,3
2012-10-08,23700,23350,23850,23300,23700,1.294481,0.000521,1.78,1067,1219,54210,17.33,1422.112802,1111.95,13583.65,2074.42,1773.5,89.5,1981.89,1315.04,-0.006349228,1
2012-10-09,23550,23800,23900,23550,23550,1.294719,0.000506,1.77,1108,337,54195,16.87,1421.160977,1111.49,13473.53,2115.23,1763,92.3,1979.04,1310,-0.023631605,0
2012-10-10,23000,23250,23300,23000,23000,1.294672,0.000515,1.73,515,397,54285,17.81,1422.742945,1114.15,13344.97,2119.94,1763.2,91.3,1948.22,1281.44,-0.004357305,1
2012-10-11,22900,22800,23100,22600,22900,1.296468,0.000503,1.72,-74,512,54270,17.51,1417.154865,1112.75,13326.39,2102.87,1768.8,92.2,1933.09,1276.29,-0.015401845,0
2012-10-12,22550,22900,23000,22250,22550,1.295943,0.000497,1.7,243,516,54230,17.19,1417.229945,1111.25,13328.85,2104.93,1758,91.8,1933.26,1267.73,-0.013393057,0
2012-10-15,22250,22550,22700,22100,22250,1.305489,0.000458,1.67,-15,304,54235,17.08,1409.927637,1110.6,13424.23,2098.7,1736,91.9,1925.59,1263.84,0.026609109,3
2012-10-16,22850,22700,23050,22700,22850,1.308931,0.000468,1.72,1141,464,54210,16.4,1403.97057,1106.75,13551.78,2098.81,1744.7,92.1,1941.54,1285.95,0.028049304,3
2012-10-17,23500,23400,23600,23200,23500,1.321598,0.000453,1.77,218,1783,54180,16.28,1403.72158,1105.15,13557,2105.62,1751.5,92,1955.15,1302.03,0.002125399,2
2012-10-18,23550,23500,23650,23200,23550,1.326052,0.00042,1.77,92,833,54150,16.47,1393.883985,1105.35,13548.94,2131.69,1743.3,92.1,1959.12,1301.72,-0.01067246,1
2012-10-19,23300,23550,23750,23250,23300,1.329771,0.000417,1.75,290,654,54160,16.82,1392.852641,1104.95,13343.51,2128.3,1722.8,90.1,1943.84,1290.7,0.004282662,2
2012-10-22,23400,22700,23450,22650,23400,1.2934,0.000409,1.76,182,652,54145,17.79,1382.732281,1104.25,13345.89,2132.76,1725.1,88.7,1941.59,1292.09,-0.015070253,0
2012-10-23,23050,23400,23700,23050,23050,1.29452,0.000414,1.73,488,257,54140,17.91,1383.337513,1103.35,13102.53,2114.45,1708.3,86.5,1926.81,1281,0.040388061,3
2012-10-24,24000,23500,24150,23350,24000,1.29603,0.000419,1.8,2378,1184,54190,18.64,1382.828156,1104.05,13077.34,2115.99,1700.5,85.5,1913.96,1289.02,0.01242252,2
2012-10-25,24300,24150,24800,24050,24300,1.296208,0.000421,1.83,334,3319,54205,17.82,1369.589622,1098,13103.68,2101.58,1712,85.9,1924.5,1303.61,-0.00826451,1
2012-10-26,24100,24300,24650,24000,24100,1.288027,0.000418,1.81,619,471,54225,19,1378.974488,1097.25,13107.21,2066.21,1710.9,86.2,1891.43,1276.09,0,1
2012-10-29,24100,24550,24950,23900,24100,1.306896,0.000416,1.81,1456,693,54245,18.55,1377.365119,1097.76,13107.21,2058.94,1707.7,85.5,1891.52,1293.95,0.00826451,2
2012-10-30,24300,24500,24750,24200,24300,1.307162,0.000416,1.83,798,450,54255,18.26,1370.556463,1091.1,13107.21,2062.35,1710.5,85.6,1899.58,1299.02,0.022381402,3
2012-10-31,24850,24800,25000,24650,24850,1.313073,0.000408,1.87,1211,946,54280,18.37,1365.80629,1090.05,13096.46,2068.88,1717.5,86.2,1912.06,1307.73,0.0258207,3
2012-11-01,25500,24950,25900,24700,25500,1.305556,0.000396,1.92,326,2772,54270,18.39,1362.109863,1091.05,13232.62,2104.43,1714.1,87,1898.44,1307.3,0.017493157,3
2012-11-02,25950,26000,26300,25900,25950,1.308568,0.000398,1.95,797,2313,54280,17.46,1355.341615,1091.05,13093.16,2117.05,1674.1,84.9,1918.72,1327.83,0.007677581,2
2012-11-05,26150,25950,26350,25750,26150,1.278528,0.000382,1.97,160,836,54270,17.82,1360.249221,1091.6,13112.44,2114.03,1682.2,85.8,1908.22,1336.31,-0.009606222,1
2012-11-06,25900,26250,26300,25550,25900,1.271361,0.000384,1.95,-158,807,54290,17.51,1359.234796,1090.65,13245.68,2106,1714.1,88.5,1928.17,1344.24,0.003853569,2
2012-11-07,26000,26000,26100,25450,26000,1.267427,0.000384,1.95,119,1003,54290,17.36,1358.599124,1086.2,12932.73,2105.73,1713.2,84.5,1937.55,1355.16,0.00192123,2
2012-11-08,26050,25600,26100,25350,26050,1.252769,0.00038,1.96,646,724,54350,17.64,1363.579474,1089.5,12811.32,2071.51,1725.4,85.1,1914.41,1342.39,-0.025268594,0
2012-11-09,25400,25700,25950,25350,25400,1.258696,0.000392,1.91,-696,679,54305,17.19,1372.368587,1088.7,12815.39,2069.07,1730.3,86.1,1904.41,1337.33,-0.003944778,1
2012-11-12,25300,25200,25550,24800,25300,1.347238,0.000375,1.9,-90,1044,54295,17.3,1371.424972,1088.5,12815.08,2079.27,1730.3,85.6,1900.87,1334.07,0.001974334,2
2012-11-13,25350,25200,25550,25000,25350,1.345466,0.000373,1.91,404,496,54320,17.22,1371.994965,1090.05,12756.18,2047.89,1724.2,85.4,1889.7,1331.72,0.048132486,3
2012-11-14,26600,25550,26700,25500,26600,1.344964,0.000409,2,1070,1105,54315,16.78,1352.223191,1085.7,12570.95,2055.42,1729.5,86.3,1894.04,1337.05,-0.017062025,0
2012-11-15,26150,26350,26550,25900,26150,1.345389,0.000408,1.97,3,464,54340,17.24,1339.261538,1088.15,12542.38,2030.29,1713.3,85.3,1870.72,1325.61,-0.046975368,0
2012-11-16,24950,26100,26300,24550,24950,1.370431,0.000443,1.88,-1375,1971,54325,17.07,1344.997536,1091.6,12588.31,2014.73,1714.3,86.6,1860.83,1306.85,0.009970172,2
2012-11-19,25200,25200,25500,24750,25200,1.382197,0.000436,1.89,85,744,54335,16.44,1337.149188,1086.3,12795.96,2016.98,1734,89.1,1878.1,1319.91,0.005934736,2
2012-11-20,25350,25650,25750,25300,25350,1.381491,0.000422,1.91,99,569,54325,15.83,1327.026696,1083.65,12788.51,2008.92,1723.2,86.7,1890.18,1347.72,-0.017910927,0
2012-11-21,24900,25500,25750,24900,24900,1.381931,0.000428,1.87,-156,1018,54325,15.83,1314.1695,1082.35,12836.89,2030.32,1727.9,87.1,1884.04,1337.73,0.027724548,3
2012-11-22,25600,25250,25700,25000,25600,1.385226,0.000431,1.92,359,526,54295,15.37,1317.597087,1085.7,12836.89,2015.61,1725.8,87.1,1899.5,1361.21,0.00389864,2
2012-11-23,25700,25500,25850,25350,25700,1.361388,0.000431,1.93,326,162,54245,15.37,1317.266885,1086.35,13009.68,2027.38,1751.3,87.1,1911.33,1373.38,0.0038835,2
2012-11-26,25800,25800,26300,25750,25800,1.358532,0.000427,1.94,149,734,54300,15.78,1322.111287,1085.85,12967.37,2017.46,1749.5,87.8,1908.51,1364.25,-0.009737175,1
2012-11-27,25550,25750,26000,25350,25550,1.352205,0.00043,1.92,-623,653,54250,15.51,1320.985401,1085.85,12878.13,1991.17,1742.2,87.2,1925.2,1365.17,-0.007858587,1
2012-11-28,25350,25400,25550,25000,25350,1.32114,0.000431,1.91,427,773,54295,15.43,1330.867971,1088.65,12985.11,1973.52,1716.5,86.6,1912.78,1357.38,0.001970444,2
2012-11-29,25400,25700,25800,25100,25400,1.33633,0.000431,1.91,-506,870,54325,15.07,1322.940818,1084.15,13021.82,1963.49,1727.2,88,1934.85,1355.71,-0.040166042,0
2012-11-30,24400,25250,25350,24400,24400,1.335667,0.000456,1.83,-332,1346,54310,14.87,1311.954942,1083.15,13025.58,1980.12,1710.9,88.9,1932.9,1345.69,0,1
2012-12-03,24400,24300,24650,24200,24400,1.373394,0.000452,1.83,-1073,1166,54305,15.36,1315.878994,1083.1,12965.6,1959.77,1719.6,89.1,1940.02,1361.08,0.002047084,2
2012-12-04,24450,24300,24700,24200,24450,1.372906,0.000359,1.84,-571,1327,54345,15.25,1323.019651,1083.95,12951.78,1975.14,1694.4,88.5,1935.18,1360.36,0.016227537,3
2012-12-05,24850,24450,24900,24250,24850,1.374435,0.00036,1.87,542,492,54280,15.24,1318.187355,1082.1,13034.49,2031.91,1692.4,87.9,1947.04,1362.32,0,1
2012-12-06,24850,24850,25100,24700,24850,1.37136,0.000356,1.87,597,566,54295,15.3,1314.54744,1083.45,13074.04,2029.24,1700.3,86.3,1949.62,1343.83,0.041385216,3
2012-12-07,25900,25450,25950,25400,25900,1.385479,0.000381,1.95,1785,1258,54335,15.11,1308.74879,1081.55,13155.13,2061.79,1704,85.9,1957.45,1364.56,0.003853569,2
2012-12-10,26000,25850,26150,25800,26000,1.381614,0.000375,1.95,521,792,54300,15.45,1310.418186,1077.95,13169.88,2083.77,1713,85.6,1957.42,1367.88,-0.001924928,1
2012-12-11,25950,26250,26500,25900,25950,1.380605,0.000338,1.95,199,1066,53830,15.29,1305.950213,1075.45,13248.44,2074.7,1708.2,85.8,1964.62,1362.77,0.003846159,2
2012-12-12,26050,26350,26500,26050,26050,1.369457,0.000338,1.96,38,1116,53760,15.2,1295.704115,1073.75,13245.45,2082.73,1716.6,86.8,1975.44,1353.34,0.007648221,2
2012-12-13,26250,26200,26500,25650,26250,1.394792,0.000338,1.97,-295,2088,53740,14.61,1286.68104,1074.25,13170.72,2061.48,1695.6,86,2002.77,1377.88,-0.001906578,1
2012-12-14,26200,26000,26350,25850,26200,1.396168,0.000326,1.97,211,720,53705,14.08,1288.565264,1075.05,13135.01,2150.63,1695.8,86.8,1995.04,1362.82,0.01702974,3
2012-12-17,26650,26400,26800,26250,26650,1.428478,0.000326,2,739,1190,53730,14.86,1281.414238,1072.8,13235.39,2160.34,1697,87.3,1983.07,1349.29,-0.005644418,1
2012-12-18,26500,26900,27100,26400,26500,1.426037,0.000327,1.99,313,1554,53695,14.59,1278.227727,1073.2,13350.96,2162.46,1669.5,88,1993.09,1358.48,-0.007575794,1
2012-12-20,26300,26850,26950,26150,26300,1.416346,0.000324,1.98,-187,1622,53715,14.66,1275.403609,1074.4,13311.72,2168.35,1644.9,89.9,1999.5,1345.37,-0.034819765,0
2012-12-21,25400,26300,26450,25250,25400,1.445141,0.000333,1.91,-1145,1265,53770,16.03,1279.514921,1076.2,13190.84,2153.31,1659.1,88.5,1980.42,1323.65,-0.009891277,1
2012-12-24,25150,25400,25700,25050,25150,1.440178,0.000334,1.89,-172,830,53750,15.8,1268.399291,1073.7,13139.08,2159.05,1658.6,88.5,1981.82,1327.53,0.011857846,2
2012-12-26,25450,25300,25700,25300,25450,1.440904,0.000336,1.91,-77,748,53730,16.03,1257.763975,1073.25,13114.59,2219.13,1659.8,91,1982.25,1321.74,0.011718884,2
2012-12-27,25750,25450,25800,25400,25750,1.437292,0.000336,1.94,87,400,53770,15.77,1245.335192,1071.86,13096.31,2205.9,1662.7,91,1987.35,1336.33,0,1
2012-12-28,25750,25750,25950,25500,25750,1.441991,0.000333,1.94,-93,498,53870,15.89,1241.367283,1067.7,12938.11,2233.25,1654.9,90.9,1997.05,1344.95,0.032476589,3
2013-01-02,26600,26150,26650,26100,26600,1.448155,0.000337,1.9,-8,2050,53850,15.5,1219.481413,1062.9,13412.55,2233.25,1687.9,93,2031.1,1380.96,0.001877935,2
2013-01-03,26650,26900,27100,26400,26650,1.480698,0.000337,1.9,91,1555,53970,14.78,1222.516099,1063.1,13391.36,2233.25,1673.7,92.8,2019.41,1373.15,-0.011320876,1
2013-01-04,26350,26800,26900,26200,26350,1.485308,0.000335,1.88,-740,1466,53985,14.4,1211.152882,1063.15,13435.21,2276.99,1648.1,93.1,2011.94,1366.8,-0.017225306,0
2013-01-07,25900,26400,26450,25650,25900,1.503028,0.00034,1.85,-751,880,53970,14.32,1211.056707,1063.55,13384.29,2285.36,1645.5,93.3,2011.25,1366.39,0.01342302,2
2013-01-08,26250,26050,26550,25950,26250,1.495818,0.000331,1.87,88,1022,54025,13.98,1216.174451,1062.45,13328.85,2276.07,1661.5,93.2,1997.94,1358.17,-0.007648221,1
2013-01-09,26050,26500,26600,25950,26050,1.492531,0.000332,1.86,-88,538,54020,13.75,1208.651545,1060.35,13390.51,2275.34,1654.8,93.1,1991.81,1348.59,0.028384119,3
2013-01-10,26800,26150,26800,25850,26800,1.498665,0.000338,1.91,565,1187,54090,13.53,1201.555228,1058.45,13471.22,2283.66,1677.3,93.8,2006.8,1358.13,0.01113184,2
2013-01-11,27100,27100,27250,26500,27100,1.494596,0.000335,1.93,518,1417,54040,13.74,1180.617726,1055,13488.43,2243,1660,93.6,1996.67,1354.14,-0.005550431,1
2013-01-14,26950,27250,27300,26850,26950,1.492325,0.000327,1.92,1,721,54030,14.11,1184.234133,1056.1,13507.32,2311.74,1668.9,94.2,2007.04,1358.28,-0.037811688,0
2013-01-15,25950,26800,27000,25800,25950,1.502753,0.000341,1.85,-131,1289,54065,15.14,1191.852603,1057.65,13534.89,2325.68,1683.4,93.4,1983.74,1328.7,0.009587801,2
2013-01-16,26200,26200,26700,26050,26200,1.509795,0.000342,1.87,-1265,2187,54075,15.53,1199.003849,1059.2,13511.23,2309.5,1682.7,94.2,1977.45,1319.83,-0.011516442,1
2013-01-17,25900,26350,26350,25450,25900,1.527508,0.000343,1.85,-1364,858,54110,15.1,1184.443201,1058.3,13596.02,2284.91,1690.4,95.4,1974.27,1316.86,-0.011650617,1
2013-01-18,25600,26050,26150,25500,25600,1.52071,0.000345,1.82,-1561,1450,54085,14.65,1176.74522,1058.6,13649.7,2317.07,1686.6,95.5,1987.85,1323.49,0.005842276,2
2013-01-21,25750,25750,25850,25300,25750,1.510298,0.000341,1.84,-199,996,54095,14.58,1186.57299,1064,13649.7,2328.22,1687.8,95.5,1986.86,1324.09,-0.0275608,0
2013-01-22,25050,25500,25700,24850,25050,1.502855,0.000328,1.79,-1022,1288,54095,14.28,1196.961171,1063.5,13712.21,2315.14,1692.8,96.2,1996.52,1330.91,-0.016096927,0
2013-01-23,24650,25050,25100,24600,24650,1.504204,0.000331,1.76,-101,1409,54105,14.7,1205.002258,1067.15,13779.33,2320.91,1686.3,95.1,1980.41,1326.19,-0.016360283,0
2013-01-24,24250,24600,24650,24050,24250,1.505639,0.000334,1.73,-372,964,54145,14.62,1187.965744,1068.1,13825.33,2302.6,1669.5,95.5,1964.48,1310.15,-0.002063984,1
2013-01-25,24200,24300,24700,23800,24200,1.499868,0.000334,1.72,-97,703,54150,14.9,1182.847719,1075.8,13895.98,2291.3,1656.4,95.7,1946.69,1292,0.008230499,2
2013-01-28,24400,24150,24500,24000,24400,1.50758,0.000334,1.74,56,416,54140,15.22,1203.969129,1092,13881.93,2346.51,1652.4,96.5,1939.71,1280.57,-0.008230499,1
2013-01-29,24200,24500,24550,24100,24200,1.499708,0.000327,1.72,-160,854,54090,14.77,1194.46588,1083.5,13954.42,2358.98,1660.8,97.5,1955.96,1289.02,0.006179216,2
2013-01-30,24350,24650,24950,24300,24350,1.515625,0.000316,1.74,-347,1537,54055,14.72,1192.784297,1087.7,13910.42,2382.48,1679.9,97.9,1964.43,1302.3,0.002051283,2
2013-01-31,24400,24400,24600,24200,24400,1.511422,0.00031,1.74,-405,1150,54075,15.18,1192.151704,1087.6,13860.58,2385.42,1660.6,97.5,1961.94,1298.89,-0.008230499,1
2013-02-01,24200,24250,24450,24050,24200,1.511064,0.00031,1.72,-662,1590,54080,15.12,1189.788159,1095.2,14009.79,2419.02,1669.4,97.7,1957.79,1293.75,0.004123717,2
2013-02-04,24300,24500,24600,24300,24300,1.511699,0.000309,1.73,-103,997,54090,15.76,1175.493474,1089.8,13880.08,2428.15,1675.3,96.3,1953.21,1287.05,-0.025001302,0
2013-02-05,23700,24050,24200,23600,23700,1.516273,0.000318,1.69,-35,1276,54110,15.79,1165.540903,1087.1,13979.3,2433.13,1672.4,96.7,1938.18,1266.32,0.033198069,3
2013-02-06,24500,23850,24650,23800,24500,1.514818,0.000338,1.75,343,2518,54140,15.11,1167.041439,1089.9,13986.52,2434.48,1677.7,96.7,1936.19,1270.44,0.014184635,2
2013-02-07,24850,24650,25000,24550,24850,1.519672,0.000332,1.77,369,2281,54195,14.59,1165.117025,1090.2,13944.05,2418.53,1670.4,95.8,1931.77,1279.28,-0.004032264,1
2013-02-08,24750,24850,25000,24550,24750,1.497358,0.000332,1.76,635,938,54195,14.25,1179.870829,1096.1,13992.97,2432.4,1666,95.7,1950.9,1296.71,0.010050336,2
2013-02-12,25000,24950,25300,24800,25000,1.49902,0.000333,1.78,788,661,54215,14.9,1168.038482,1092.7,14018.7,2432.4,1648.7,97.5,1945.79,1300.31,0.019802627,3
2013-02-13,25500,25250,25600,25200,25500,1.500674,0.000299,1.82,1125,1590,54190,14.33,1160.983431,1086.1,13982.91,2432.4,1644.2,97,1976.07,1320.62,0.00781254,2
2013-02-14,25700,25550,25750,25350,25700,1.50309,0.000296,1.83,3,1476,54185,13.86,1165.486156,1086,13973.39,2432.4,1634.7,97.3,1979.61,1324.52,-0.00194742,1
2013-02-15,25650,25700,25750,25550,25650,1.484317,0.00026,1.83,148,928,54215,13.63,1154.834565,1078.5,13981.76,2432.4,1608.8,95.9,1981.18,1326.87,0.009699397,2
2013-02-18,25900,25600,26000,25550,25900,1.499614,0.00026,1.85,203,937,54235,13.56,1153.432677,1083.65,13981.76,2421.56,1609.4,95.9,1981.91,1326.65,-0.001932368,1
2013-02-19,25850,25800,26100,25750,25850,1.499163,0.00026,1.84,642,277,54235,13.31,1154.289988,1080.3,14035.67,2382.91,1603.6,96.6,1985.83,1330.83,0.024834132,3
2013-02-20,26500,26250,26700,26200,26500,1.496164,0.000264,1.89,2075,1952,54250,13.44,1152.663606,1079.7,13927.54,2397.18,1577.6,94.5,2024.64,1369.9,0.003766483,2
2013-02-21,26600,26350,26650,26300,26600,1.493851,0.000252,1.9,-237,1318,54285,13.87,1167.131666,1087.65,13880.62,2325.95,1578.2,92.8,2015.22,1371.75,-0.007547206,1
2013-02-22,26400,26400,26600,26300,26400,1.490878,0.000253,1.88,-1,752,54275,14.12,1162.757069,1085.55,14000.57,2314.16,1572.4,93.1,2018.89,1368.75,-0.003795071,1
2013-02-25,26300,26500,26550,26050,26300,1.497521,0.000253,1.87,67,938,54305,14.94,1155.515371,1086.3,13784.17,2325.82,1586.2,93,2009.52,1369,0.009460809,2
2013-02-26,26550,26100,26650,25850,26550,1.493862,0.000252,1.89,1091,609,54350,15.51,1184.23913,1089.5,13900.13,2293.34,1615,92.6,2000.01,1368.04,-0.011363759,1
2013-02-27,26250,26850,26950,26250,26250,1.485997,0.000254,1.87,705,476,54410,15.4,1188.409763,1085.85,14075.37,2313.22,1595.2,92.8,2004.04,1366.08,0.009478744,2
2013-02-28,26500,26700,26750,26500,26500,1.465462,0.000255,1.89,804,1274,54415,15.19,1174.28262,1084.45,14054.49,2365.59,1577.7,91.9,2026.49,1376.1,-0.019048195,0
2013-03-04,26000,26600,26700,25900,26000,1.472183,0.000234,1.85,249,1302,54405,15.68,1167.683253,1091.2,14127.82,2273.4,1572.1,90.1,2013.15,1373.39,0.037740328,3
2013-03-05,27000,26400,27200,26400,27000,1.475328,0.000257,1.92,917,2249,54425,15.31,1167.203608,1086.9,14253.77,2326.31,1574.6,90.8,2016.61,1386.26,0.036367644,3
2013-03-06,28000,27650,28200,27600,28000,1.474828,0.000277,2,921,4917,54405,15.26,1159.788303,1084.75,14296.24,2347.18,1574.6,90.4,2020.74,1397.08,0.005342844,2
2013-03-07,28150,28100,28450,27850,28150,1.469577,0.000274,2.01,-186,2977,54385,15.14,1151.80557,1087.65,14329.49,2324.29,1574.8,91.6,2004.4,1386.31,0.003546103,2
2013-03-08,28250,28350,28400,27800,28250,1.465893,0.000274,2.01,14,2050,54385,14.7,1138.443936,1094.5,14397.07,2318.61,1576.6,91.9,2006.01,1388.32,0.01231326,2
2013-03-11,28600,28250,28800,28200,28600,1.469605,0.000249,2.04,63,3160,54365,15.89,1138.169527,1094.35,14447.29,2310.59,1577.8,92,2003.35,1386.85,-0.017637141,0
2013-03-12,28100,28850,28900,28050,28100,1.4738,0.000255,2,-259,1190,54210,15.95,1139.527625,1095.2,14450.06,2286.61,1591.5,92.5,1993.34,1376.89,0.007092228,2
2013-03-13,28300,28300,28550,28100,28300,1.488548,0.000255,2.02,-184,762,54240,15.41,1142.790262,1098.45,14455.28,2263.97,1588.3,92.4,1999.73,1392.26,0.02097979,3
2013-03-14,28900,28450,29000,28400,28900,1.491903,0.000261,2.06,-55,1908,54220,15.66,1151.954668,1107.95,14539.14,2270.28,1590.6,93,2002.13,1399.17,-0.003466208,1
2013-03-15,28800,29000,29200,28400,28800,1.488654,0.000261,2.05,-205,2185,54255,15.98,1164.553646,1111.45,14514.11,2278.4,1592.5,93.5,1986.5,1380.37,-0.013986242,0
2013-03-18,28400,28550,28900,28400,28400,1.486959,0.000265,2.02,-86,1163,54280,16.49,1171.976866,1114.55,14452.06,2240.02,1604.6,93.8,1968.18,1368.32,0.008764298,2
2013-03-19,28650,28800,28900,28350,28650,1.484772,0.000262,2.04,-299,1076,54280,16.41,1171.646502,1113.65,14455.82,2257.43,1611.3,92.2,1978.56,1389.3,-0.001746725,1
2013-03-20,28600,28500,28850,28350,28600,1.478975,0.000261,2.04,-339,1033,54300,16.57,1167.869847,1116.25,14511.73,2317.37,1607.5,93,1959.41,1373.69,-0.019418086,0
2013-03-21,28050,28850,28900,28050,28050,1.482279,0.000267,2,-926,753,54325,16.67,1172.428286,1115.8,14421.49,2324.24,1613.8,92.3,1950.82,1369.9,0.008873173,2
2013-03-22,28300,27900,28450,27650,28300,1.482141,0.000246,2.02,-208,1004,54355,16.12,1181.103608,1119.45,14512.03,2328.28,1606.2,93.5,1948.71,1374.54,0.026156679,3
2013-03-25,29050,29050,29200,28850,29050,1.484581,0.000254,2.07,43,1312,54360,14.85,1175.018501,1111.45,14447.75,2326.72,1604.6,94.6,1977.67,1399.77,0.01537178,3
2013-03-26,29500,29050,29500,29000,29500,1.487972,0.000255,2.1,-610,3621,54355,14.6,1175.244058,1107.55,14559.65,2297.67,1595.7,96.3,1983.7,1404.37,-0.001696353,1
2013-03-27,29450,29600,29700,29200,29450,1.49085,0.000254,2.1,320,1152,54355,14.56,1178.810054,1111.5,14526.16,2301.26,1606.2,96.5,1993.44,1406.34,-0.006814336,1
2013-03-28,29250,29450,29450,28950,29250,1.492476,0.000255,2.08,-136,1038,54520,14.9,1182.455395,1113.4,14578.54,2236.3,1594.8,97.1,1993.52,1404.04,-0.017241806,0
2013-03-29,28750,29500,29650,28750,28750,1.489989,0.000245,2.05,-505,473,54515,14.34,1182.030586,1113,14578.54,2236.62,1594.8,97.1,2004.89,1408.15,-0.003484324,1
2013-04-01,28650,28900,29050,28600,28650,1.48896,0.000246,2.04,247,495,54510,15.07,1189.570158,1109.75,14572.85,2234.4,1600,97.1,1995.99,1409.7,-0.008764298,1
