dates,adjusted,open,high,low,close,betaYearDay,sigmaDay60,pbr,institutional,foreigners,kodexGBond3Year,vkospi200,wonPerYen,wonPerDollar,dowjones,shanghai,goldFuture,wtiNY,kospi,kospi200IT,logreturn,lrClass
2010-07-16,23500,24550,24650,23500,23500,1.274734,0.000749,2.54,-4118,2339,52125,19.73,1392.700139,1203.85,10097.9,2424.27,1188,75.9,1738.45,1294.9,0.008474627,2
2010-07-19,23700,23700,24100,23500,23700,1.274619,0.000691,2.56,-1928,475,52160,21.15,1402.479815,1215.95,10154.43,2475.42,1181.7,76.7,1731.95,1292.46,0.006309169,2
2010-07-20,23850,23850,24050,23550,23850,1.243059,0.000692,2.58,-848,1360,52160,20.62,1388.090585,1207.5,10229.96,2528.73,1191.5,77.3,1736.77,1289.29,-0.010537505,1
2010-07-21,23600,24250,24350,23500,23600,1.235001,0.000692,2.55,-2428,736,52200,20.01,1381.755594,1204.2,10120.53,2535.39,1191.6,76.3,1748.78,1297.1,-0.043296806,0
2010-07-22,22600,23850,24000,22250,22600,1.246103,0.000718,2.44,-5217,1283,52310,20.87,1381.698221,1204.15,10322.3,2562.41,1195.5,79,1735.53,1268.05,0.028355226,3
2010-07-23,23250,23000,23400,22800,23250,1.252217,0.000718,2.51,-1793,3429,52345,19.62,1373.01042,1199.05,10424.62,2572.03,1187.7,78.8,1758.06,1276.61,0.029663192,3
2010-07-26,23950,23300,24150,23300,23950,1.257308,0.000735,2.59,336,2284,52295,19.79,1364.886546,1191,10525.43,2588.68,1183,78.9,1769.07,1296.86,-0.018967903,0
2010-07-27,23500,24200,24200,23500,23500,1.219666,0.000737,2.54,-10554,12822,52320,19.64,1345.820997,1181.9,10537.69,2575.37,1158,77.6,1768.31,1290.35,-0.017167804,0
2010-07-28,23100,23700,23850,22700,23100,1.218375,0.000728,2.5,-2466,1547,52365,19.27,1355.485714,1186.05,10497.88,2633.66,1160.4,76.8,1773.47,1284.22,-0.033006296,0
2010-07-29,22350,22900,23250,22300,22350,1.222234,0.000732,2.42,-3151,1478,52400,19.07,1361.710677,1186.05,10467.16,2648.12,1168.4,78.6,1770.88,1262.56,0.006688988,2
2010-07-30,22500,22250,22850,22150,22500,1.221193,0.000728,2.43,-427,1366,52405,19.26,1369.39695,1185.35,10465.94,2637.5,1181.7,78.5,1759.33,1259.17,-0.040821995,0
2010-08-02,21600,22550,22650,21500,21600,1.22068,0.000743,2.34,-5076,1241,52460,18.55,1358.076834,1173.65,10674.38,2672.52,1183.4,81.7,1782.27,1268.51,0.016073825,3
2010-08-03,21950,21950,22400,21800,21950,1.222207,0.000748,2.37,-85,2239,52360,17.67,1365.963153,1171.45,10636.38,2627,1185.2,82.5,1790.6,1284.97,-0.016073825,0
2010-08-04,21600,22000,22250,21400,21600,1.222847,0.000742,2.34,609,866,52410,17.64,1353.155761,1168.45,10680.43,2638.52,1193.7,82.5,1789.26,1276.73,0.013793322,2
2010-08-05,21900,22000,22400,21700,21900,1.220129,0.000745,2.37,2431,419,52360,17.65,1357.949255,1166.75,10674.98,2620.76,1197.2,82.2,1783.86,1261.96,0.042464481,3
2010-08-06,22850,22100,22900,22050,22850,1.220914,0.000763,2.47,2373,1898,52330,17.55,1363.62569,1161.4,10653.56,2658.39,1203.4,80,1783.83,1266.34,-0.006586193,1
2010-08-09,22700,22900,23100,22600,22700,1.21354,0.000727,2.45,254,843,52315,17.81,1354.217711,1160.7,10698.75,2672.53,1200.7,81.8,1790.17,1269.95,-0.004415018,1
2010-08-10,22600,22850,23250,22600,22600,1.213352,0.000727,2.44,38,799,52305,18.34,1361.22758,1168.75,10644.25,2595.27,1196.2,80.1,1781.13,1270.21,-0.063948725,0
2010-08-11,21200,22000,22100,21200,21200,1.233796,0.000734,2.29,-4787,1782,52435,19.38,1385.782935,1182.35,10378.83,2607.5,1197.5,78,1758.19,1232.74,0,1
2010-08-12,21200,20600,21500,20200,21200,1.22403,0.000715,2.29,1036,2104,52515,20.35,1379.930192,1186.05,10319.95,2575.48,1214.8,75.9,1721.75,1217.77,0.021004273,3
2010-08-13,21650,21500,21800,21300,21650,1.224821,0.000719,2.34,698,1323,52540,18.59,1372.738868,1183.85,10303.15,2606.7,1214.9,75.4,1746.24,1245.61,0.020572154,3
2010-08-16,22100,21550,22150,21200,22100,1.212269,0.000713,2.39,1133,1536,52580,18.71,1391.212654,1187.4,10302.01,2661.71,1224.5,75.2,1743.31,1250.81,0,1
2010-08-17,22100,21900,22250,21700,22100,1.225333,0.000709,2.39,676,427,52585,18.39,1373.452464,1175.95,10405.85,2671.89,1226.6,75.8,1755.03,1259.76,-0.018265348,0
2010-08-18,21700,22250,22300,21500,21700,1.221767,0.000711,2.35,-1390,791,52610,18.16,1376.670574,1174.3,10415.54,2666.3,1229.7,75.4,1761.99,1260.13,0.036203049,3
2010-08-19,22500,22150,22650,22000,22500,1.23469,0.00071,2.43,1977,1412,52705,17.77,1379.202916,1173.15,10271.21,2687.98,1233.8,74.5,1779.64,1267.46,-0.022472856,0
2010-08-20,22000,22250,22450,21950,22000,1.24626,0.00069,2.38,-177,615,52775,18.25,1382.631026,1184.5,10213.62,2642.31,1227.2,73.5,1775.54,1265.5,-0.027651531,0
2010-08-23,21400,22000,22350,21300,21400,1.252014,0.0007,2.31,-1865,728,52815,18.59,1388.327853,1182.3,10174.41,2639.37,1226.9,72.7,1767.71,1258.47,0.025376217,3
2010-08-24,21950,21300,22050,21050,21950,1.231057,0.000707,2.37,1005,847,52905,18.9,1419.980948,1192.5,10040.45,2650.31,1231.8,71.2,1760.53,1261.2,0.004545462,2
2010-08-25,22050,21700,22150,21550,22050,1.221835,0.000701,2.38,1819,432,52880,19.62,1415.779513,1196.9,10060.06,2596.58,1239.5,72.1,1734.79,1238.09,0.024637304,3
2010-08-26,22600,22400,23000,22050,22600,1.21931,0.00071,2.44,4869,1395,52995,19.11,1406.737589,1190.1,9985.81,2603.48,1234.2,73.4,1729.76,1240.22,-0.00221484,1
2010-08-27,22550,22500,22700,22250,22550,1.22303,0.000646,2.44,380,488,52995,18.65,1409.948138,1196.2,10150.65,2610.74,1235.6,75.2,1729.56,1232.42,-0.002219757,1
2010-08-30,22500,22900,22950,22350,22500,1.205458,0.000643,2.43,-959,468,52965,17.9,1407.079646,1192.5,10009.73,2652.66,1237.1,74.5,1760.13,1245.99,-0.064242269,0
2010-08-31,21100,22100,22200,21000,21100,1.238335,0.000701,2.28,-4205,1155,53020,18.79,1422.510977,1198.75,10014.72,2638.8,1248.3,71.8,1742.75,1219.59,-0.011919092,1
2010-09-01,20850,21250,21350,20500,20850,1.236728,0.000673,2.25,-3912,1173,52930,18.01,1400.508094,1185.25,10269.47,2622.88,1246.3,74,1764.69,1222.68,0.011919092,2
2010-09-02,21100,21300,21400,20900,21100,1.241592,0.000663,2.28,1480,804,52960,17.11,1400.118624,1180.3,10320.1,2655.78,1251.5,75,1775.73,1245.94,0.032636929,3
